0|1|2|3
373|3.73|-0.00406845|0.0309299
374|3.74|-0.00375915|0.0315643
375|3.75|-0.00344351|0.0320568
376|3.76|-0.00312294|0.0324091
377|3.77|-0.00279885|0.0326238
378|3.78|-0.00247261|0.0327039
379|3.79|-0.00214558|0.0326526
380|3.8|-0.00181905|0.0324738
381|3.81|-0.00149431|0.0321718
382|3.82|-0.00117259|0.031751
383|3.83|-0.000855084|0.0312164
384|3.84|-0.000542919|0.0305733
385|3.85|-0.000237186|0.0298272
386|3.86|6.10851e-05|0.0289837
387|3.87|0.000350923|0.0280491
388|3.88|0.000631413|0.0270293
389|3.89|0.000901707|0.0259309
390|3.9|0.00116102|0.0247603
391|3.91|0.00140862|0.0235241
392|3.92|0.00164386|0.022229
393|3.93|0.00186615|0.0208816
394|3.94|0.00207497|0.0194889
395|3.95|0.00226985|0.0180575
396|3.96|0.00245043|0.0165941
397|3.97|0.00261637|0.0151054
398|3.98|0.00276742|0.0135979
399|3.99|0.0029034|0.0120782
400|4|0.00302418|0.0105525
401|4.01|0.00312971|0.00902711
402|4.02|0.00321998|0.00750795
403|4.03|0.00329506|0.00600089
404|4.04|0.00335507|0.00451152
405|4.05|0.00340018|0.00304526
406|4.06|0.00343064|0.00160725
407|4.07|0.00344671|0.000202398
408|4.08|0.00344873|-0.00116467
409|4.09|0.00343709|-0.00248958
410|4.1|0.00341219|-0.00376828
411|4.11|0.00337451|-0.00499697
412|4.12|0.00332454|-0.00617219
413|4.13|0.00326282|-0.00729076
414|4.14|0.00318991|-0.00834982
415|4.15|0.00310641|-0.00934683
416|4.16|0.00301294|-0.0102796
417|4.17|0.00291015|-0.0111461
418|4.18|0.00279869|-0.0119448
419|4.19|0.00267924|-0.0126744
420|4.2|0.00255249|-0.013334
421|4.21|0.00241915|-0.0139227
422|4.22|0.00227993|-0.0144404
423|4.23|0.00213552|-0.0148868
424|4.24|0.00198666|-0.0152622
425|4.25|0.00183403|-0.015567
426|4.26|0.00167836|-0.015802
427|4.27|0.00152034|-0.0159682
428|4.28|0.00136066|-0.0160667
429|4.29|0.00119999|-0.0160991
430|4.3|0.001039|-0.0160671
431|4.31|0.000878332|-0.0159725
432|4.32|0.000718606|-0.0158175
433|4.33|0.000560431|-0.0156043
434|4.34|0.000404389|-0.0153353
435|4.35|0.000251036|-0.0150132
436|4.36|0.000100904|-0.0146406
437|4.37|-4.55019e-05|-0.0142205
438|4.38|-0.000187707|-0.0137558
439|4.39|-0.000325265|-0.0132495
440|4.4|-0.00045776|-0.0127049
441|4.41|-0.000584809|-0.012125
442|4.42|-0.000706059|-0.0115132
443|4.43|-0.000821192|-0.0108728
444|4.44|-0.00092992|-0.010207
445|4.45|-0.00103199|-0.00951924
446|4.46|-0.00112718|-0.00881277
447|4.47|-0.00121531|-0.00809092
448|4.48|-0.00129622|-0.00735695
449|4.49|-0.00136979|-0.0066141
450|4.5|-0.00143593|-0.00586554
451|4.51|-0.00149458|-0.00511438
452|4.52|-0.00154573|-0.00436367
453|4.53|-0.00158937|-0.00361635
454|4.54|-0.00162553|-0.00287529
455|4.55|-0.00165428|-0.00214322
456|4.56|-0.00167571|-0.00142281
457|4.57|-0.00168994|-0.000716564
458|4.58|-0.00169711|-2.68903e-05
459|4.59|-0.00169738|0.000643946
460|4.6|-0.00169094|0.00129381
461|4.61|-0.001678|0.00192072
462|4.62|-0.00165879|0.00252283
463|4.63|-0.00163356|0.00309844
464|4.64|-0.00160258|0.003646
465|4.65|-0.00156612|0.00416413
466|4.66|-0.00152448|0.00465159
467|4.67|-0.00147796|0.0051073
468|4.68|-0.00142689|0.00553032
469|4.69|-0.00137159|0.0059199
470|4.7|-0.00131239|0.0062754
471|4.71|-0.00124963|0.00659636
472|4.72|-0.00118367|0.00688246
473|4.73|-0.00111484|0.00713354
474|4.74|-0.00104351|0.00734955
475|4.75|-0.000970014|0.00753062
476|4.76|-0.000894708|0.00767699
477|4.77|-0.000817938|0.00778902
478|4.78|-0.000740048|0.00786723
479|4.79|-0.000661375|0.00791224
480|4.8|-0.000582253|0.00792477
481|4.81|-0.000503005|0.00790567
482|4.82|-0.000423949|0.00785588
483|4.83|-0.00034539|0.00777645
484|4.84|-0.000267625|0.0076685
485|4.85|-0.00019094|0.00753324
486|4.86|-0.000115608|0.00737196
487|4.87|-4.18882e-05|0.007186
488|4.88|2.99718e-05|0.00697678
489|4.89|9.97396e-05|0.00674577
490|4.9|0.000167197|0.00649447
491|4.91|0.000232142|0.00622443
492|4.92|0.000294386|0.00593724
493|4.93|0.000353759|0.0056345
494|4.94|0.000410104|0.00531782
495|4.95|0.000463282|0.00498886
496|4.96|0.00051317|0.00464923
497|4.97|0.000559663|0.00430058
498|4.98|0.000602669|0.00394453
499|4.99|0.000642114|0.00358268
500|5|0.000677941|0.00321663
501|5.01|0.000710107|0.00284794
502|5.02|0.000738586|0.00247813
503|5.03|0.000763368|0.00210869
504|5.04|0.000784455|0.00174108
505|5.05|0.000801866|0.00137669
506|5.06|0.000815632|0.00101688
507|5.07|0.000825801|0.000662936
508|5.08|0.000832431|0.000316096
509|5.09|0.000835592|-2.24653e-05
510|5.1|0.000835367|-0.000351638
511|5.11|0.000831851|-0.00067038
512|5.12|0.000825147|-0.000977721
513|5.13|0.00081537|-0.00127276
514|5.14|0.000802642|-0.00155467
515|5.15|0.000787095|-0.0018227
516|5.16|0.000768868|-0.00207617
517|5.17|0.000748107|-0.00231448
518|5.18|0.000724962|-0.00253711
519|5.19|0.000699591|-0.00274361
520|5.2|0.000672155|-0.0029336
521|5.21|0.000642818|-0.0031068
522|5.22|0.000611751|-0.00326297
523|5.23|0.000579121|-0.00340197
524|5.24|0.000545101|-0.00352372
525|5.25|0.000509864|-0.00362822
526|5.26|0.000473582|-0.00371552
527|5.27|0.000436427|-0.00378576
528|5.28|0.000398569|-0.00383912
529|5.29|0.000360178|-0.00387586
530|5.3|0.000321419|-0.00389629
531|5.31|0.000282456|-0.00390077
532|5.32|0.000243449|-0.00388973
533|5.33|0.000204551|-0.00386364
534|5.34|0.000165915|-0.00382302
535|5.35|0.000127685|-0.00376841
536|5.36|9.00006e-05|-0.00370043
537|5.37|5.29962e-05|-0.00361971
538|5.38|1.67991e-05|-0.00352692
539|5.39|-1.84701e-05|-0.00342275
540|5.4|-5.26976e-05|-0.00330793
